"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";1;"USB_B_Micro";;;
2;"MH2,MH1,MH3";"MountingHole_2.2mm_M2";3;"MountingHole_2.2mm_M2";;;
3;"U4";"ESP-12E";1;"ESP-12F";;;
4;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
5;"R5,R4,R3,R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"12K";;;
6;"C8,C7,C6,C5,C3,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"22uF";;;
7;"C4,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100nF";;;
8;"J2";"PinHeader_2x05_P2.54mm_Vertical";1;"PMS7003";;;
9;"U2";"Senseair_S8_Up";1;"004-0-0053";;;
10;"U3";"Aosong_DHT11_5.5x12.0_P2.54mm";1;"DHT11";;;
